gurmukhi,english
imlweIAY,melaaeeai
imlwey,melaaay
imlwh,melaah
imlwhI,melaahee
imlwhu,melaahu
imlwhw,melaahaa
imlwie,melaae
imlwieAau,melaaeAou
imlwieAnu,melaaeAnu
imlwieAw,melaaeaa
imlwiedw,melaaedaa
imlwieE,melaaeo
imlwieEnu,melaaeonu
imlwiesI,melaaesee
imlwih,melaahe
imlwiq,melaate
imlwis,melaase
imlwnw,melaanaa
imlwpu,melaapu
imlwq,melaat
imlwqw,melaataa
imlwsI,melaasee
imlwsw,melaasaa
imlwvau,melaavou
imlwvey,melaavay
imlwvhI,melaavhee
imlwvhu,melaavahu
imlwvih,melaavahe
imlwvixAw,melaavnneaa
imlwvVw,melaavrraa
imlwvw,melaavaa
imlwvxhwr,melaavannhaar
imlwvxhwrIAw,melaavannhaareeaa
imlwvxhwru,melaavannhaaru
imlwvxhwrw,melaavannhaaraa
imlwvY,melaavai
imlwvy,melaavay
imlwvYgo,melaavaigo
imlwXau,melaaYou
imlx,melann
imlxu,melannu
imlxw,melnnaa
imlxY,melnnai
imlY,melai
imly,melay
imlYgo,melaigo
imlYgw,melaigaa
imlyie,melaye
imMniq,mennate
imnIAY,meneeai
imnw,menaa
imq,met
imQ,meth
imQ´Mq,metheant
imQ´w,metheaa
imqI,metee
imQn,methan
imQnI,methnee
imqR,metra
imqRM,metran
imqRs´,metrasea
imqRü,metru
imqRW,metraan
imqRw,metraa
imqRweI,metraaee
imqRyKu,metraykhu
imqu,metu
imqVw,metrraa
imqw,metaa
imQynw,methaynaa
imRdMg,mredang
imrg,merg
imRg,mreg
imRgCwlw,mregchhaalaa
imRgI,mregee
imrgI,mergee
imrgmY,mergamai
imrgu,meragu
imrgW,mergaan
imRgwc,mregaach
imrgwey,mergaaay
imrgwih,mergaahe
imrgwxI,mergaannee
imrIAw,mereeaa
imriq,merate
imRq,mret
imrq,mert
imRq´ü,mreteau
imrqk,mertak
imrqko,mertako
imrqku,mertaku
imrqkVw,mertakrraa
imrqkw,mertakaa
imrqu,meratu
ims†,mestt
imsl,mesal
imsr,mesar
imst,mestt
imstM,mesttan
imstwey,mesttaaay
imsu,mesu
imT,metth
imt,mett
imteI,mettaee
imteIAw,mettaeeaa
imthI,mettahee
imtI,mettee
imTI,metthee
imtIAw,metteeaa
imTIAW,mettheeaan
imtih,mettahe
imtis,mettase
imtMiq,mettante
imtMq,mettant
imtMqu,mettantu
imtq,mettat
imTqu,metthatu
imtu,mettu
imtvI,mettvee
imTVw,metthrraa
imtvwieAw,mettvaaeaa
imTVy,metthrray
imtvy,mettvay
imtvY,mettvai
imTw,metthaa
imtweI,mettaaee
imTweI,metthaaee
imtweIAw,mettaaeeaa
imtweIAY,mettaaeeai
imtwey,mettaaay
imtwie,mettaae
imtwieAw,mettaaeaa
imtwieE,mettaaeo
imtwiex,mettaaenn
imtwihE,mettaaheo
imtwnw,mettaanaa
imtwny,mettaanay
imtwvau,mettaavou
imtwvhu,mettaavahu
imtwvih,mettaavahe
imtwvixAw,mettaavnneaa
imtwvnw,mettaavnaa
imtwvY,mettaavai
imtwvy,mettaavay
imtXau,mettaYou
imTy,metthay
imtY,mettai
imTY,metthai
imty,mettay
in,ne
inaulI,neoulee
inAwau,neaaou
inAweI,neaaee
inAwey,neaaay
inAWeyN,neaanayn
inAwie,neaae
inAwmiq,neaamate
inAwrau,neaarou
inAwrI,neaaree
inAwro,neaaro
inAwrw,neaaraa
inAwry,neaaray
inAwv,neaav
inbg,nebag
inbhI,nebahee
inbhq,nebahat
inbhwvY,nebahaavai
inbhY,nebahai
inbihAw,nebaheaa
inbihE,nebaheo
inbirE,nebreo
inbiVAw,nebrreaa
inBivAwh,nebhaveaah
inbl,nebal
inbrI,nebree
inBrMqw,nebharantaa
inBrWiq,nebharaante
inBrwqI,nebharaatee
inBrwqy,nebharaatay
inbVY,nebrrai
inbwhI,nebaahee
inbwhY,nebaahai
inbwih,nebaahe
inbwihE,nebaaheo
inbwsn,nebaasan
inbyir,nebayre
inbyrE,nebayrao
inbyrhu,nebayrahu
inbyrI,nebayree
inbyrih,nebayrahe
inbyro,nebayro
inbyrw,nebayraa
inbyrY,nebayrai
inbyVI,nebayrree
inbyVu,nebayrru
inbyVw,nebayrraa
inbyVxhwro,nebayrrannhaaro
inbyVy,nebayrray
incIijAw,necheejeaa
incMdu,nechanadu
inDI,nedhee
inDinAw,nedhaneaa
inDirAw,nedhareaa
inDn,nedhan
inDo,nedho
indosW,nedosaan
indRw,nedraa
indwin,nedaane
inDwn,nedhaan
indwn,nedaan
inDwnI,nedhaanee
inDwnM,nedhaanan
inDwno,nedhaano
inDwnu,nedhaanu
inDwnw,nedhaanaa
indwnw,nedaanaa
inDwrw,nedhaaraa
inDy,nedhay
infirAw,neddareaa
infru,neddaru
infry,neddaray
inghwr,negahaar
ingiqAw,negateaa
inGirAw,neghareaa
ingm,negam
ingmM,negaman
ingmu,negamu
ingRh,negraha
ingRhu,negrahu
ingRih,negrahe
inGrq,negharat
inGrqu,negharatu
inguirAw,negureaa
inguixAw,negunneaa
ingurI,neguree
ingurw,neguraa
ingury,neguray
ingusWeyN,negusaanayn
inguxIAw,negunneeaa
inhBwgVo,nehbhaagrro
inhcau,nehchou
inhcl,nehchal
inhclo,nehchalo
inhclu,nehchalu
inhclwDw,nehchalaadhaa
inhclwieAw,nehchalaaeaa
inhcY,nehchai
inhikMcnw,nehkenchnaa
inhklMk,nehkalank
inhkMtk,nehkanttak
inhkMtku,nehkanttaku
inhkpt,nehkapatt
inhkrm,nehkaram
inhkrmI,nehkarmee
inhkrmw,nehkarmaa
inhkwm,nehkaam
inhkwmI,nehkaamee
inhkwmu,nehkaamu
inhkwmw,nehkaamaa
inhkyvl,nehkayval
inhkyvlM,nehkayvalan
inhkyvlu,nehkayvalu
inhkyvlw,nehkayvlaa
inhlIAw,nehleeaa
inhMgw,nehangaa
inhor,nehor
inhoro,nehoro
inhorw,nehoraa
inhPl,nehphal
inhPlh,nehphalaha
inhPlM,nehphalan
inhPlu,nehphalu
inhqy,nehatay
inhsMgw,nehsangaa
inhswsin,nehsaasane
inhwil,nehaale
inhwilAw,nehaaleaa
inhwilEnu,nehaaleonu
inhwilh,nehaaleha
inhwir,nehaare
inhwirAw,nehaareaa
inhwl,nehaal
inhwlI,nehaalee
inhwlIAY,nehaaleeai
inhwlsw,nehaalsaa
inhwlu,nehaalu
inhwlw,nehaalaa
inhwlxw,nehaalnnaa
inhwly,nehaalay
inhwr,nehaar
inhwrau,nehaarou
inhwrhu,nehaarahu
inhwrI,nehaaree
inhwrIAY,nehaareeai
inhwrih,nehaarahe
inhwrw,nehaaraa
inhwry,nehaaray
inhwrY,nehaarai
inicMd,nechend
inicMdu,nechendu
inicMdw,nechendaa
iniD,nedhe
iniDjlu,nedhejalu
iniKAau,nekheAou
inimRq,nemret
iniq,nete
inis,nese
iniv,neve
inivAw,neveaa
inj,nej
inJr,nejhar
inJru,nejharu
inju,neju
ink,nek
inkI,nekee
inkil,nekale
inkilE,nekleo
inkis,nekase
inkisAw,nekseaa
inkisE,nekseo
inkit,nekatte
inklI,neklee
inklih,nekalahe
inklwvYgo,neklaavaigo
inklY,neklai
inkly,neklay
inKMjno,nekhanjano
inKMjnu,nekhanjanu
inkor,nekor
inkQw,nekathaa
inksI,neksee
inkso,nekso
inksq,neksat
inksu,nekasu
inksweI,neksaaee
inksY,neksai
inksy,neksay
inkt,nekatt
inktI,nekttee
inktwieE,nekttaaeo
inktwnI,nekttaanee
inkty,nekttay
inKuit,nekhutte
inKUit,nekhootte
inKuteI,nekhuttaee
inkutI,nekuttee
inKutI,nekhuttee
inKutIAsu,nekhutteeAsu
inKUtis,nekhoottase
inKutq,nekhuttat
inKutsI,nekhuttsee
inKUtw,nekhoottaa
inKUtY,nekhoottai
inKutY,nekhuttai
inKuty,nekhuttay
inkwilAnu,nekaaleAnu
inkwir,nekaare
inkwixAw,nekaanneaa
inkwlw,nekaalaa
inkwmI,nekaamee
inkwxI,nekaannee
inkwxy,nekaannay
inKyD,nekhaydh
inKyiDAw,nekhaydheaa
inlj,nelaj
inlwj,nelaaj
inlwju,nelaaju
inMd,nend
inMdau,nendou
inMdhu,nendahu
inMdIAY,nendeeai
inMdih,nendahe
inMdik,nendake
inMdis,nendase
inMdk,nendak
inMdku,nendaku
inMdkw,nendkaa
inMdkW,nendkaan
inMdu,nendu
inMdw,nendaa
inMdY,nendai
inmGw,nemghaa
inMidAw,nendeaa
inMimAw,nenmeaa
inmK,nemakh
inmKk,nemkhak
inmKPw,nemakhphaa
inmKu,nemakhu
inmKw,nemkhaa
inmkw,nemkaa
inmKwqI,nemkhaatee
inmKy,nemkhay
inMmIAY,nenmeeai
inMmlu,nenmalu
inMmrI,nenmree
inMmRqwh,nenmrataah
inMmu,nenmu
inMmunIAwdw,nenmuneeaadaa
inMmwixAw,nenmaanneaa
inMmy,nenmay
inmq,nemat
inmsY,nemsai
inmu,nemu
inmuxIAwdI,nemunneeaadee
inmwixAw,nemaanneaa
inmwnI,nemaanee
inmwno,nemaano
inmwnVIAw,nemaanrreeaa
inmwnw,nemaanaa
inmwnxIAwh,nemaananneeaah
inmwny,nemaanay
inmwxI,nemaannee
inmwxIAw,nemaanneeaa
inmwxIey,nemaanneeay
inmwxw,nemaannaa
inmwxy,nemaannay
innwau,nenaaou
innwm,nenaam
inpij,nepaje
inpit,nepatte
inpjih,nepjahe
inpjwey,nepjaaay
inpjy,nepjay
inpjY,nepjai
inPl,nephal
inpMgu,nepangu
inpMny,nepannay
inprsu,neparasu
inpUqy,nepootay
inq,net
inqih,netahe
inqpRiq,netprate
inqpRqh,netprataha
inqw,netaa
inQwivAw,nethaaveaa
inqwixAw,netaanneaa
inqwpRiq,netaaprate
inQwvy,nethaavay
inQwvY,nethaavai
inqwxI,netaannee
inqwxIAw,netaanneeaa
inqwxu,netaannu
inqwxw,netaannaa
inqwxy,netaannay
inrBau,nerbhou
inrBey,nerbhay
inrbhIAY,nerbaheeai
inrBieAw,nerbhaeaa
inrBvh,nerbhavaha
inrbwhu,nerbaahu
inrbwn,nerbaan
inrbwnI,nerbaanee
inrbwnu,nerbaanu
inrbwnw,nerbaanaa
inrbwnY,nerbaanai
inrBwr,nerbhaar
inrbwx,nerbaann
inrbwxI,nerbaannee
inrbwxu,nerbaannu
inrbwxy,nerbaannay
inrBXh,nerbhaYaha
inrBXM,nerbhaYan
inrBY,nerbhai
inrdieAw,nerdaeaa
inrdilAw,nerdaleaa
inrDn,nerdhan
inrDnM,nerdhanan
inrDnu,nerdhanu
inrDnw,nerdhanaa
inrdoK,nerdokh
inrdwvY,nerdaavai
inrdY,nerdai
inrgMD,nergandh
inrgmjoiqk,nergamjotek
inrguin,nergune
inrguix,nergunne
inrguixAwirAw,nergunneaareaa
inrguixAwry,nergunneaaray
inrgun,nergun
inrgunI,nergunee
inrgunIAwr,nerguneeaar
inrgunIAwry,nerguneeaaray
inrgunIAY,nerguneeai
inrgunu,nergunu
inrgux,nergunn
inrguxI,nergunnee
inrguxIAwry,nergunneeaaray
inrguxu,nergunnu
inrguxvMqVIey,nergunnvantrreeay
inrguxy,nergunnay
inrhwr,nerhaar
inrhwrI,nerhaaree
inrhwru,nerhaaru
inribGn,nerbeghan
inribKeI,nerbekhaee
inriK,nerakhe
inriKE,nerkheo
inrIkwr,nereekaar
inrimq,nermet
inriq,nerate
inriqkwr,nertekaar
inriqkwrI,nertekaaree
inrivriq,nerverate
inrivrqI,nervertee
inrjIau,nerjeeou
inrjog,nerjog
inrjogu,nerjogu
inrjogw,nerjogaa
inrjwis,nerjaase
inrK,nerakh
inrKau,nerkhou
inrKI,nerkhee
inrKih,nerkhahe
inrKq,nerkhat
inrljy,nerlajay
inrlyp,nerlayp
inrlypI,nerlaypee
inrlypw,nerlaypaa
inrmey,nermay
inrMhwrM,neranhaaran
inrmil,nermale
inrmir,nermare
inrMjin,neranjane
inrMjn,neranjan
inrMjnI,neranjanee
inrMjno,neranjano
inrMjnu,neranjanu
inrMjnw,neranjanaa
inrMkwir,nerankaare
inrMkwr,nerankaar
inrMkwrI,nerankaaree
inrMkwrM,nerankaaran
inrMkwro,nerankaaro
inrMkwru,nerankaaru
inrMkwrw,nerankaaraa
inrMkwry,nerankaaray
inrMkwrY,nerankaarai
inrMkyrY,nerankayrai
inrml,nermal
inrmlau,nermalou
inrmlh,nermalaha
inrmlI,nermalee
inrmlIAw,nermaleeaa
inrmlM,nermalan
inrmlo,nermalo
inrmlO,nermalau
inrmlu,nermalu
inrmluo,nermaluo
inrmlw,nermalaa
inrmlwie,nermalaae
inrmly,nermalay
inrmoh,nermoh
inrmolk,nermolak
inrmolko,nermolko
inrmolku,nermolaku
inrmolu,nermolu
inrmolw,nermolaa
inrMqI,nerantee
inrMqir,nerantare
inrMqr,nerantar
inrMqrI,nerantaree
inrMqry,nerantaray
inrmwiel,nermaael
inrmwielu,nermaaelu
inrmwlkw,nermaalkaa
inrmXO,nermaYau
inrnau,nernou
inroAw,neroaa
inroDhu,nerodhahu
inroDr,nerodhar
inroDrw,nerodharaa
inroDu,nerodhu
inrp,nerp
inRp,nrep
inRpiq,nrepate
inrq´M,nertean
inrqkwrI,nertkaaree
inrqwey,nertaaay
inrqy,nertay
inrs,neras
inrsin,nerasane
inrUpIAY,neroopeeai
inrvreI,nervaraee
inrvw,nervaa
inrvwrI,nervaaree
inrvwro,nervaaro
inrvYir,nervaire
inrvYr,nervair
inrvYru,nervairu
inrvYrw,nervairaa
inrvYrxh,nervairannaha
inrvYry,nervairay
inrvYrY,nervairai
inrwhwr,neraahaar
inrwhwrI,neraahaaree
inrwhwru,neraahaaru
inrwlI,neraalee
inrwlm,neraalam
inrwlMbu,neraalanbu
inrwlmo,neraalmo
inrwlmu,neraalamu
inrwlw,neraalaa
inrwly,neraalay
inrwPl,neraaphal
inrwprwD,neraapraadh
inrwr,neraar
inrwrI,neraaree
inrwro,neraaro
inrwrQ,neraarath
inrwrw,neraaraa
inrwry,neraaray
inrws,neraas
inrwsI,neraasee
inrwsM,neraasan
inrwso,neraaso
inrwsu,neraasu
inrwsw,neraasaa
inrwsy,neraasay
inrxau,nernnou
ins,nes
inscau,neschou
insçl,neschal
inscO,neschau
inscY,neschai
insI,nesee
insKx,neskhann
inslu,nesalu
insM|u,nesanngu
insMg,nesang
insMgu,nesangu
insMgw,nesangaa
insMgy,nesangay
insMk,nesank
insœwrhu,nestaarahu
insqir,nestare
insqirAw,nestareaa
insqrI,nestaree
insqrIAY,nestareeai
insqrY,nestarai
insqry,nestaray
insqRy,nestray
insqwir,nestaare
insqwirAnu,nestaareAnu
insqwirAw,nestaareaa
insqwirE,nestaareo
insqwr,nestaar
insqwrhu,nestaarahu
insqwrI,nestaaree
insqwrIAY,nestaareeai
insqwrih,nestaarahe
insqwru,nestaaru
insqwrw,nestaaraa
insqwrx,nestaarann
insqwrxu,nestaarannu
insqwry,nestaaray
insqwrY,nestaarai
insul,nesul
inswirE,nesaareo
invih,nevahe
invil,nevale
invl,neval
invlI,nevlee
invlu,nevalu
invMDY,nevandhai
invMin,nevanne
invMiq,nevante
invrI,nevree
invrih,nevrahe
invrY,nevrai
invry,nevray
invsis,nevsase
invweI,nevaaee
invwey,nevaaay
invwhU,nevaahoo
invwie,nevaae
invwieAw,nevaaeaa
invwieAY,nevaaeai
invwij,nevaaje
invwijAw,nevaajeaa
invwir,nevaare
invwirAw,nevaareaa
invwirE,nevaareo
invwirhu,nevaarehu
invwis,nevaase
invwj,nevaaj
invwjI,nevaajee
invwju,nevaaju
invwjw,nevaajaa
invwjY,nevaajai
invwjy,nevaajay
invwq,nevaat
invwr,nevaar
invwr´au,nevaareou
invwrhu,nevaarahu
invwrI,nevaaree
invwrIAw,nevaareeaa
invwrIAY,nevaareeai
invwrih,nevaarahe
invwrixAw,nevaarnneaa
invwrM,nevaaran
invwrn,nevaaran
invwrnu,nevaaranu
invwru,nevaaru
invwrw,nevaaraa
invwrx,nevaarann
invwrxh,nevaarannaha
invwrxhwir,nevaarannhaare
invwrxhwro,nevaarannhaaro
invwrxhwru,nevaarannhaaru
invwrxhwrw,nevaarannhaaraa
invwrxM,nevaarnnan
invwrxo,nevaarnno
invwrxu,nevaarannu
invwrxw,nevaarnnaa
invwry,nevaaray
invwrY,nevaarai
invws,nevaas
invwsI,nevaasee
invwsnu,nevaasanu
invwso,nevaaso
invwsu,nevaasu
invwsw,nevaasaa
invwsy,nevaasay
invwsY,nevaasai
invwvih,nevaavahe
invwVw,nevaarraa
invxu,nevannu
invY,nevai
invy,nevay
ipau,peou
ipaUs,peoos
ipAwau,peaaou
ipAweI,peaaee
ipAwey,peaaay
ipAwir,peaare
ipAwirAw,peaareaa
ipAwirho,peaareho
ipAwis,peaase
ipAwisAw,peaaseaa
ipAwl,peaal
ipAwlw,peaalaa
ipAwr,peaar
ipAwrI,peaaree
ipAwrIAw,peaareeaa
ipAwro,peaaro
ipAwru,peaaru
ipAwrVy,peaararray
ipAwrw,peaaraa
ipAwry,peaaray
ipAwrY,peaarai
ipAws,peaas
ipAwsI,peaasee
ipAwso,peaaso
ipAwsw,peaasaa
ipAwsy,peaasay
ipChu,pechhahu
ipCI,pechhee
ipCl,pechhal
ipCly,pechhlay
ipCMaufI,pechhanouddee
ipCo,pechho
ipCody,pechhoday
ipcu,pechu
ipCvwrlw,pechhvaarlaa
ipCw,pechhaa
ipCwhw,pechhaahaa
ipCY,pechhai
ipCYrI,pechhairee
ipeIxI,peeennee
ipf,pedd
ipiK,pekhe
iPikAw,phekeaa
ipiKjY,pekhejai
iPir,phere
ipir,pere
iPirAw,phereaa
iPirE,phereo
ipiT,petthe
iPitAw,phetteaa
ipithu,pettehu
ipjY,pejai
ipKhu,pekhahu
iPkI,phekee
ipKMdo,pekhando
ipKMin@,pekhanne
ipKMiqh,pekhanteha
iPko,pheko
ipKq,pekhat
iPkrIAw,phekareeaa
iPkru,phekaru
ipKu,pekhu
iPkw,phekaa
ipKw,pekhaa
ipkwbr,pekaabar
iPkwny,phekaanay
ipKY,pekhai
iPky,phekay
iPkY,phekai
iPlhwl,phelhaal
iPlhwlw,phelhaalaa
iplwieAw,pelaaeaa
ipM\wieAw,pennjaaeaa
ipMDI,pendhee
ipMf,pendd
ipMfI,penddee
ipMfu,penddu
ipMfw,penddaa
ipMfy,pendday
ipMgM,pengan
ipMgul,pengul
ipMgulw,pengulaa
ipMgurIAw,pengureeaa
ipMif,pendde
ipMjir,penjare
ipMjr,penjar
ipMjru,penjaru
ipMjrw,penjraa
ipMjrY,penjrai
ipnxy,penannay
ipq,pet
ipqr,petar
ipqrI,petree
ipqrw,petraa
ipqu,petu
ipqw,petaa
ipqweI,petaaee
ipqwmh,petaamaha
ipr,per
ipRA,preA
ipRAih,preAhe
ipRAM,preAn
ipRau,preou
iPrau,pherou
ipRAw,preaa
iPrdI,pherdee
iPrdw,pherdaa
iPrdy,pherday
iprGw,perghaa
iprhu,perahu
iPrhu,pherahu
iprhVI,perharree
iprI,peree
iPrI,pheree
iprIAMin,pereeAnne
iprIAw,pereeaa
iPrIAw,phereeaa
iPridAw,pherdeaa
iprIey,pereeay
iPrih,pherahe
iprih,perahe
iPrin,pherane
iPrin@,pherane
ipRm,prem
iprm,peram
iPrMdy,pheranday
iPrMdY,pherandai
iprMin,peranne
iPrMin,pheranne
iPrMin@,pheranne
iprmlu,permalu
iprMm,peranm
iPrMq,pherant
iPrMqI,pherantee
iprmu,peramu
iPrn,pheran
iPro,phero
iPrq,pherat
iPrqau,phertou
iPrQeI,pherthaee
iPrqI,phertee
ipRQim,prethame
ipRQmI,prethmee
iprQmI,perthamee
iPrqo,pherto
iPrqO,phertau
iPrqu,pheratu
ipRQvI,prethvee
iPrqw,phertaa
iPrqy,phertay
ipru,peru
iPru,pheru
iprw,peraa
iPrw,pheraa
iPrW,pheraan
iPrwau,pheraaou
iprwgu,peraagu
iprwgy,peraagay
iPrwhI,pheraahee
iPrwhir,pheraahare
iprwhnu,peraahanu
iPrwie,pheraae
iPrwih,pheraahe
iprwix,peraanne
iPrwmI,pheraamee
iprwnI,peraanee
iPrwqw,pheraataa
iPrwvau,pheraavou
iprwxu,peraannu
iPrx,pherann
iPrxw,phernnaa
iPrY,pherai
iPry,pheray
ipry,peray
ipsn,pesan
ipsnMq,pesnant
ipsr,pesar
ipswc,pesaach
iPtikAw,phettkeaa
iptin,pettane
iPtk,phettak
iPtkIAih,phettkeeAhe
iPtkw,phettkaa
iPtkwirAw,phettkaareaa
iPtky,phettkay
iPtu,phettu
iPtw,phettaa
iptweI,pettaaee
iptweIAY,pettaaeeai
ipty,pettay
iPtY,phettai
iPty,phettay
ipV,perr
ipvIjY,peveejai
ipvMn,pevann
ipVu,perru
ipVweI,perraaee
ipXU,peYoo
iq,te
iq´wig,teaage
iQAeI,theAee
iqAkq,teAkat
iqau,teou
iQAw,theaa
iqAwgau,teaagou
iqAwgdy,teaagday
iqAwghu,teaagahu
iqAwgI,teaagee
iqAwgIAY,teaageeai
iqAwgih,teaagahe
iqAwgin,teaagane
iqAwgM,teaagan
iqAwgMq,teaagant
iqAwgnI,teaagnee
iqAwgnu,teaaganu
iqAwgnw,teaagnaa
iqAwgo,teaago
iqAwgq,teaagat
iqAwgu,teaagu
iqAwgY,teaagai
iqAwgy,teaagay
iqAwgyN,teaagayn
iqAwig,teaage
iqAwig´,teaagea
iqAwigAw,teaageaa
iqAwigE,teaageo
iqAws,teaas
iqcru,techaru
iqdU,tedoo
iqdwaU,tedaaoo
iQDweI,thedhaaee
iQE,theo
iqfw,teddaa
iQglI,theglee
iqh,teha
iqhI,tehee
iqhMfIAw,tehanddeeaa
iqhry,tehray
iqhtVy,tehattrray
iqhu,tehu
iqhU,tehoo
iqhUM,tehoon
iqhW,tehaan
iqhwieAw,tehaaeaa
iqhwl,tehaal
iqhwrI,tehaaree
iqhwrY,tehaarai
iqih,tehe
iqin,tene
iqin@,tene
iQiq,thete
iqir,tere
iqix,tenne
iqK,tekh
iqKeIAw,tekhaeeaa
iqKhwry,tekhahaaray
iqKI,tekhee
iqkil,tekale
iqKw,tekhaa
iqkwl,tekaal
iqKwt,tekhaatt
iql,tel
iqlk,telak
iqlku,telaku
iqlMg,telang
iqlnw,telnaa
iqlocn,telochan
iqlocnu,telochanu
iqlocnw,telochnaa
iqlok,telok
iqlq,telat
iqlu,telu
iqlwh,telaah
iqlY,telai
iqMin,tenne
iqmir,temare
iqMn,tenn
iqMn@,tenn
iqMn@w,tennaa
iqMnw,tennaa
iqMnwh,tennaah
iqMnY,tennai
iqmr,temar
iqn,ten
iqn@,ten
iqn@bhuiV,tenbahurre
iqn@I,tenee
iqn@w,tenaa
iqnCy,tenchhay
iqngy,tengay
iqnh,tenah
iqnhU,tenhoo
iqnhu,tenahu
iqnhUM,tenhoon
iqnI,tenee
iqnih,tenahe
iqnkw,tenkaa
iqnu,tenu
iqnw,tenaa
iqnwh,tenaah
iqnwhw,tenaahaa
iqnwVI,tenaarree
iqnwVIAw,tenaarreeaa
iqnwVw,tenaarraa
iqnY,tenai
iqnyhw,tenayhaa
iqnyih,tenayhe
iqpdw,tepadaa
iqpdy,tepaday
iqpdy15,tepaday15
iqpIAw,tepeeaa
iqpiq,tepate
iqpqwie,teptaae
iqpqwsY,teptaasai
iqpqY,teptai
iqpqy,teptay
iqq,tet
iQq,thet
iQqˆØI,theteen
iqQhu,tethahu
iQqI,thetee
iQqMØI,theteen
iqqnI,tetnee
iqqny,tetnay
iqqu,tetu
iqqukI,tetukee
iqqukw,tetukaa
iqquky,tetukay
iqqVy,tetrray
iQqw,thetaa
iqQwaU,tethaaoo
iqQweI,tethaaee
iqQweIN,tethaaeen
iqQY,tethai
iqqY,tetai
iQr,ther
iqRA,treA
iqRBvix,trebhavanne
iqRBvn,trebhavan
iqRBvx,trebhavann
iqRBvxo,trebhavnno
iqRBvxu,trebhavannu
iqRgd,tregad
iqRguix,tregunne
iqRgux,tregunn
iqRhd,trehad
iqRhu,trehu
iqRhw,trehaa
iqrIAw,tereeaa
iqRibiD,trebedhe
iqRix,trenne
iqRkutI,trekuttee
iqRKw,trekhaa
iqRKweI,trekhaaee
iqRKwvMq,trekhaavant
iqRKwvMqu,trekhaavantu
iqRlocn,trelochan
iqRlocnu,trelochanu
iQro,thero
iqRp´qy,trepeatay
iqRpiq,trepte
iqRpiqAw,trepteaa
iqRplu,trepalu
iqRpq,trepat
iqRpqau,treptou
iqRpqI,treptee
iqRpqIAY,trepteeai
iqRpqIvnw,trepteevnaa
iqRpqw,treptaa
iqRpqweI,treptaaee
iqRpqwey,treptaaay
iqRpqwgw,treptaagaa
iqRpqwie,treptaae
iqRpqwieAw,treptaaeaa
iqRpqwiexu,treptaaennu
iqRpqwis,treptaase
iqRpqwisAw,treptaaseaa
iqRpqwn,treptaan
iqRpqwnI,treptaanee
iqRpqwno,treptaano
iqRpqwnw,treptaanaa
iqRpqwny,treptaanay
iqRpqwqw,treptaataa
iqRpqwqy,treptaatay
iqRpqwrI,treptaaree
iqRpqwrY,treptaarai
iqRpqws,treptaas
iqRpqwsI,treptaasee
iqRpqwsIAY,treptaaseeai
iqRpqwsih,treptaasahe
iqRpqwsw,treptaasaa
iqRpqwsy,treptaasay
iqRpqwsY,treptaasai
iqRpqwvhu,treptaavahu
iqRpqwvih,treptaavahe
iqRpqwvixAw,treptaavnneaa
iqRpqwvn,treptaavan
iqRpqwvxI,treptaavnnee
iqRpqwvY,treptaavai
iqRpqwvYgo,treptaavaigo
iqRpqwxy,treptaannay
iqRpqY,treptai
iqRpqy,treptay
iqRqIA,treteeA
iqRqIAw,treteeaa
iqRqIey,treteeay
iqrskwr,teraskaar
iqRsn,tresan
iqRsnw,tresnaa
iqRstis,tresttase
iqRstY,tresttai
iQru,theru
iqru,teru
iQrw,theraa
iqRx,trenn
iqRxM,trennan
iqRxu,trennu
iqrY,terai
iqs,tes
iqsih,tesahe
iqsitAw,testteaa
iqskwr,teskaar
iqsMqIAw,tesanteeaa
iqsn,tesan
iqsno,tesno
iqsnw,tesnaa
iqstis,testtase
iqstqy,testtatay
iqsu,tesu
iqsw,tesaa
iqsweI,tesaaee
iqswey,tesaaay
iqswieE,tesaaeo
iqsY,tesai
iqv,tev
iqVMn@,terrann
iqvY,tevai
iqxM,tennan
iqxu,tennu
ird,red
irdMqir,redantare
irdMqrh,redantaraha
irdw,redaa
irdXM,redaYan
irdY,redai
irdy,reday
irgu,regu
iriD,redhe
irid,rede
iriK,rekhe
iriKAM,rekheAn
iriKAw,rekheaa
irin,rene
irjku,rejaku
irjm,rejam
irK,rekh
irKI,rekhee
irKIkys,rekheekays
irKIkysu,rekheekaysu
irKw,rekhaa
irMin@,renne
irnu,renu
irp,rep
irqno,retno
irswie,resaae
irsY,resai
irVikEnu,rerrkeonu
is,se
is\wix,senjaanne
is\wnU,senjaanoo
is\wpdy,senjaapday
is\wpY,senjaapai
is\wqw,senjaataa
is\wxIAY,senjaanneeai
is\wxu,senjaannu
is\wxY,senjaannai
isau,seou
isAw,seaa
isAwhhu,seaahahu
isAwhI,seaahee
isAwhu,seaahu
isAwixAw,seaanneaa
isAwl,seaal
isAwm,seaam
isAwmlM,seaamalan
isAwmM,seaaman
isAwmw,seaamaa
isAwnp,seaanap
isAwnpw,seaanpaa
isAwnw,seaanaa
isAwny,seaanay
isAwpw,seaapaa
isAwru,seaaru
isAwxI,seaannee
isAwxIAY,seaanneeai
isAwxIey,seaanneeay
isAwxp,seaannap
isAwxpw,seaannpaa
isAwxpY,seaannpai
isAwxw,seaannaa
isAwxy,seaannay
isbwlu,sebaalu
isD,sedh
isD´M,sedhean
isD´qy,sedheatay
isDaurw,sedhouraa
